No,Pertanyaan,Retrieval Relevance,Answer Faithfulness,Answer Completeness,ROUGE-L,BLEU-1,Precision@K,MRR,Context Coverage,Overall,Avg Chunk Score,Chunks,Time (s),Source Type,Ground Truth,Answer,Sumber,KTE,MSRS,AQI,Dimensi TK
23,"Berdasarkan log diskusi tim, apa yang terjadi pada insiden ETL MOFIDS Februari 2023, apa penyebabnya, dan bagaimana tim merespons insiden tersebut?",0.366,0.15,1.0,0.225,0.238,1.0,1.0,0.625,0.396,15.05,8,0.0,BM25: Hybrid (L1+L2+L3),"Insiden ETL MOFIDS pada Februari 2023 terjadi karena proses ETL yang dijalankan oleh tim infrastruktur melakukan truncate pada data di lingkungan produksi. Pemicunya adalah pertanyaan Dev_A mengenai perbedaan quote_id di tabel quotation, yang kemudian ditindaklanjuti perbaikan oleh Astrid tanpa koordinasi dengan tim BOND_SYS. Dampaknya: seluruh quote_id yang sudah dibuat hilang, billing tidak menerima data MOFIDS, dan laporan tidak dapat di-generate. Tim merespons dengan berencana melaporkan insiden kepada stakeholder dan mendiskusikan cara memulihkan data MOFIDS di Data Center.","Berdasarkan log diskusi tim, berikut adalah rincian insiden ETL MOFIDS pada Februari 2023:

**Apa yang terjadi:**
*   Data, khususnya `quote id` yang sudah dibuat di MOFIDS, hilang atau terhapus.
*   Akibatnya, laporan tidak dapat di-generate.

**Penyebabnya:**
*   Sebuah proses ETL (Extract, Transform, Load) yang dilakukan oleh Astrid melakukan *truncate* (menghapus) data.
*   Insiden ini bermula ketika Dev_A menanyakan mengapa ada perbedaan `quote id` di `table quotation`. Astrid kemudian ""memperbaiki"" masalah tersebut dengan menjalankan ETL yang menyebabkan data terhapus.
*   PO_2 menyebutnya sebagai ""inisiatif"" yang tidak terkoordinasi.
*   Kurangnya komunikasi menjadi faktor kunci, karena Dev_A tidak memberikan instruksi untuk migrasi, dan Astrid tidak memberitahukan tim sebelum menjalankan proses ETL yang menghapus data.

**Bagaimana tim merespons insiden tersebut:**
*   PM_1 menyatakan bahwa Dev_A harus bertanggung jawab dan ""bikin pengakuan dosa ke pak Thariq"" karena insiden tersebut.
*   Tim segera berdiskusi tentang ""bagaimana caranya benerin data mofids di DC"".
*   PM_1 berusaha mencari tahu sejauh mana data yang termigrasi atau terhapus, menanyakan apakah Astrid melakukan migrasi penuh atau hanya untuk rentang data tertentu yang dibutuhkan oleh *billing*.
*   PO_3 menekankan pentingnya komunikasi (""berkabar sajaa"") sebelum melakukan migrasi agar tim tidak terkejut dengan hilangnya data.",BM25: Hybrid (L1+L2+L3),0.575,0.8125,0.4583333333333333,
24,"Berdasarkan FR, data sistem, dan diskusi tim — bagaimana alur upload allocation, dan apa perbedaan antara spesifikasi FR dengan kondisi aktual yang ditemukan tim?",0.528,0.068,0.312,0.148,0.061,1.0,1.0,0.5,0.224,18.455,8,0.0,BM25: Hybrid (L1+L2+L3),"Berdasarkan FR, proses upload alokasi hanya dapat dilakukan setelah sesi lelang berakhir dan sebelum End of Allocation Time yang dibuat pada tahap Entri Persiapan Lelang. Proses menggunakan mekanisme maker-checker — checker memasukkan username dan password di confirmation window. Data pemenang dikirim otomatis ke EXT_SYS_1 dalam satuan bio; jika pengiriman otomatis gagal, user dapat kirim ulang manual untuk data yang gagal saja. Setelah alokasi selesai, sistem otomatis mengirim broadcast ke Dealer Utama. Perbedaan dengan kondisi aktual: tim menemukan format file upload yang digunakan di produksi berbeda dengan spesifikasi FR, dan terdapat isu validasi desimal pada offering digit yang belum konsisten antara FR dan implementasi.","Berdasarkan Functional Requirements (FR) yang tersedia, berikut adalah alur upload alokasi:

**Alur Upload Alokasi (BOND_MOD-BCDS06):**

1.  **Pengambilan Data Lelang:** Data lelang didapatkan dari proses “Retrieve Data Lelang (Download Quotation)” dan dimasukkan ke sistem EXT_SYS_2 yang",BM25: Hybrid (L1+L2+L3),0.19,0.75,0.17600000000000002,
25,"Berdasarkan seluruh sumber, apa status implementasi fitur amend pada modul trade custody?",0.523,0.163,0.727,0.624,0.6,1.0,1.0,0.375,0.527,9.784,8,0.0,BM25: Hybrid (L1+L2+L3),"Fitur amend pada modul trade custody masih IN PROGRESS per Februari 2025. Bug confirm amend belum diperbaiki — logika membuat row baru versus update row lama belum konsisten: confirm pertama membuat row baru dan mengubah yang lama menjadi non-aktif di trade custody, tetapi confirm kedua tidak membuat row baru atau mengupdate yang lama menjadi non-aktif. Kolom CASH in dan CASH out perlu dicek apakah seharusnya ada atau tidak, karena secara kode ada tetapi tidak muncul di lingkungan development. Target penyelesaian adalah sebelum fitur naik ke staging.","Berdasarkan konteks yang diberikan, status implementasi fitur amend pada modul trade custody adalah sebagai berikut:

*   **Status Umum:** Masih IN PROGRESS.
*   **Bug yang Belum Diperbaiki:** Bug confirm amend belum di-fix, di mana logika untuk membuat row baru vs. memperbarui row lama belum konsisten. Dev_C juga menanyakan mengapa confirm pertama membuat row baru dan mengubah yang lama menjadi non-aktif di trade custody, tetapi confirm kedua (confirm amend) tidak melakukan hal yang sama.
*   **Pengecekan yang Diperlukan:** Kolom CASH in / CASH out perlu dicek ekspektasinya. Dev_B menemukan kolom tersebut tidak ada di lingkungan dev, meskipun secara kode ada.
*   **Target Penyelesaian:** Ditargetkan selesai sebelum naik ke staging.",BM25: Hybrid (L1+L2+L3),0.445,0.6875,0.5046666666666667,
1,"Apa masalah yang ditemukan tim saat proses submit quotation pada board BS-SB menjelang demo, dan bagaimana workaround sementara yang disepakati?",0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0335,0.0,0.022333333333333334,No Retrieval
2,"Berdasarkan log diskusi tim, mengapa fitur upload allocation tidak dapat didemonstrasikan pada sesi demo 27 Juli 2022?",0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0335,0.0,0.022333333333333334,No Retrieval
3,Apa yang didiskusikan tim terkait isu NEWCORE-2442 dan apa status penyelesaiannya berdasarkan log percakapan?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
4,Apa keputusan teknis yang didiskusikan tim terkait jumlah desimal (digit) untuk last price dan offering price?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks menyatakan bahwa tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
5,Apa status implementasi fitur amend pada modul trade custody berdasarkan diskusi tim Februari 2025?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan bahwa tidak ada dokumen atau data referensi yang tersedia untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
6,Apa saja tahapan utama proses Buyback Cash dalam sistem MOFIDS?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan ""Tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.""",Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
7,Apa perbedaan antara sesi General dan sesi Restricted dalam lelang LPKSBN?,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0,0.0,Baseline: Zero-shot (No RAG),,"Berdasarkan instruksi dalam KONTEKS yang menyatakan untuk menjawab murni berdasarkan pengetahuan umum model dan bahwa tidak ada dokumen atau data referensi spesifik yang diberikan, berikut adalah perbedaan umum antara sesi General (Umum) dan sesi Restricted (Terbatas) dalam konteks lelang, yang kemungkinan besar berlaku juga untuk lelang seperti LPKSBN:

1.  **Sesi General (Um",Baseline: Zero-shot (No RAG),0.4375,0.0,0.2916666666666667,No Retrieval
8,Siapa saja pihak yang terlibat dalam proses persetujuan (approval) pembuatan RFQ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
9,Apa persyaratan teknis untuk fitur Upload Allocation berdasarkan FR?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
10,Bagaimana mekanisme pengiriman notifikasi broadcast kepada Dealer Utama dalam FR?,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0,0.0,Baseline: Zero-shot (No RAG),,"Berdasarkan instruksi dalam KONTEKS yang menyatakan untuk menjawab murni berdasarkan pengetahuan umum model, tanpa mengarang detail spesifik yang tidak diketahui, berikut adalah mekanisme umum pengiriman notifikasi broadcast kepada Dealer Utama dalam suatu sistem hipotetis:

Mekanisme pengiriman notifikasi broadcast kepada Dealer Utama dalam suatu sistem (misalnya, yang mungkin dimaksud dengan 'FR') umumnya melibatkan beberapa tahapan dan komponen:

1.  **Pemicu Notifikasi:**
    *   Notifikasi dapat dipicu secara manual oleh administrator atau tim operasional melalui antarmuka sistem.
    *   Notifikasi juga dapat dipicu secara otomatis oleh sistem berdasarkan kejadian tertentu (misalnya, pembaruan kebijakan, peluncuran produk baru, perubahan harga, pengumuman darurat, atau batas waktu tertentu).

2.  **Identifikasi Penerima:**
    *   Sistem akan mengidentifikasi semua entitas yang terdaftar dan dikategorikan sebagai 'Dealer Utama' dalam database-nya.
    *   Daftar kontak (email, nomor telepon, ID pengguna aplikasi) yang terkait dengan setiap Dealer Utama akan diambil.

3.  **Pembuatan dan Personalisasi Pesan:**
    *",Baseline: Zero-shot (No RAG),0.4375,0.0,0.2916666666666667,No Retrieval
11,Berapa nilai default max_price_percentage dan min_price_percentage pada lelang MOFIDS?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
12,Apa saja kombinasi fraction_type dan fraction_digit yang tersedia untuk tipe Price?,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0625,0.0,0.041666666666666664,No Retrieval
13,Apa perbedaan auction_unit antara board BS-SB dibanding board BS dan BC?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan tidak ada dokumen atau data referensi yang tersedia untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
14,Firma mana saja yang memiliki is_active = Y di firm_default_params dan apa kode custody-nya?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks secara eksplisit menyatakan ""Tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.""",Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
15,"Dari semua quotation pada RFQ 20140327-01, berapa yang status is_allocated = Y?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
16,Apakah jam sesi pada data RFQ aktual sudah sesuai spesifikasi FR untuk jam operasional?,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan bahwa tidak ada dokumen atau data referensi mengenai jam sesi RFQ aktual atau spesifikasi FR untuk jam operasional.,Baseline: Zero-shot (No RAG),0.35,0.0,0.2333333333333333,No Retrieval
17,"Board type apa saja yang didefinisikan dalam FR, dan berapa yang sudah ada di database?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks menyatakan bahwa tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
18,Apakah konfigurasi offering_parameter pada semua RFQ konsisten dengan ketentuan FR?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan bahwa tidak ada dokumen atau data referensi yang tersedia untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),0.0,0.0,0.0,No Retrieval
19,"Berdasarkan FR dan data aktual, bagaimana settlement_date dihitung untuk board BS?",0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0715,0.0,0.04766666666666666,No Retrieval
20,"Berdasarkan FR dan data aktual, apakah offering_digit pada RFQ konsisten dengan fraction_masters?",0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0625,0.0,0.041666666666666664,No Retrieval
21,"Berdasarkan diskusi tim dan FR, apa bug yang ditemukan pada submit quotation BS-SB dan bagaimana solusinya?",0.0,0.0,0.1,0.062,0.017,0.0,0.0,0.0,0.036,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Bug yang ditemukan pada proses submit quotation adalah perbedaan hasil perhitungan di tiga halaman kuotasi, khususnya pada kolom vol kali AI atau AI per volume. Dev_A mengakui kemungkinan rumus salah dan akan diperbaiki serta dites ulang. Selain itu, setelah submit, halaman tidak otomatis refresh sehingga status di halaman admin masih terlihat merah — user harus refresh manual agar perubahan berlaku.","Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks secara eksplisit menyatakan: ""Tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.""",Baseline: Zero-shot (No RAG),0.05,0.0,0.054,No Retrieval
22,Apa keputusan teknis terkait offering digit dan validasi hardcode yang didiskusikan tim?,0.0,0.0,0.0,0.045,0.001,0.0,0.0,0.0,0.009,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Keputusan teknis terkait offering digit adalah bahwa last price dan offering price dapat memiliki nilai desimal hingga 5 angka di belakang koma. Offering parameter tidak mempengaruhi input grid — grid tetap menggunakan 2 desimal. Validasi jumlah digit dikontrol di sisi backend, bukan hardcode di form frontend.",Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0,0.0,0.015,No Retrieval
23,"Berdasarkan log diskusi tim, apa yang terjadi pada insiden ETL MOFIDS Februari 2023, apa penyebabnya, dan bagaimana tim merespons insiden tersebut?",0.0,0.0,0.0,0.103,0.018,0.0,0.0,0.0,0.024,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Insiden ETL MOFIDS pada Februari 2023 terjadi karena proses ETL yang dijalankan oleh tim infrastruktur melakukan truncate pada data di lingkungan produksi. Pemicunya adalah pertanyaan Dev_A mengenai perbedaan quote_id di tabel quotation, yang kemudian ditindaklanjuti perbaikan oleh Astrid tanpa koordinasi dengan tim BOND_SYS. Dampaknya: seluruh quote_id yang sudah dibuat hilang, billing tidak menerima data MOFIDS, dan laporan tidak dapat di-generate. Tim merespons dengan berencana melaporkan insiden kepada stakeholder dan mendiskusikan cara memulihkan data MOFIDS di Data Center.",Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan bahwa tidak ada dokumen atau data referensi yang tersedia untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),0.0,0.0,0.034333333333333334,No Retrieval
24,"Berdasarkan FR, data sistem, dan diskusi tim — bagaimana alur upload allocation, dan apa perbedaan antara spesifikasi FR dengan kondisi aktual yang ditemukan tim?",0.0,0.0,0.125,0.042,0.002,0.0,0.0,0.0,0.034,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Berdasarkan FR, proses upload alokasi hanya dapat dilakukan setelah sesi lelang berakhir dan sebelum End of Allocation Time yang dibuat pada tahap Entri Persiapan Lelang. Proses menggunakan mekanisme maker-checker — checker memasukkan username dan password di confirmation window. Data pemenang dikirim otomatis ke EXT_SYS_1 dalam satuan bio; jika pengiriman otomatis gagal, user dapat kirim ulang manual untuk data yang gagal saja. Setelah alokasi selesai, sistem otomatis mengirim broadcast ke Dealer Utama. Perbedaan dengan kondisi aktual: tim menemukan format file upload yang digunakan di produksi berbeda dengan spesifikasi FR, dan terdapat isu validasi desimal pada offering digit yang belum konsisten antara FR dan implementasi.",Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan tidak ada dokumen atau data referensi yang tersedia untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),0.0625,0.0,0.05566666666666667,No Retrieval
25,"Berdasarkan seluruh sumber, apa status implementasi fitur amend pada modul trade custody?",0.0,0.0,0.091,0.026,0.0,0.0,0.0,0.0,0.023,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Fitur amend pada modul trade custody masih IN PROGRESS per Februari 2025. Bug confirm amend belum diperbaiki — logika membuat row baru versus update row lama belum konsisten: confirm pertama membuat row baru dan mengubah yang lama menjadi non-aktif di trade custody, tetapi confirm kedua tidak membuat row baru atau mengupdate yang lama menjadi non-aktif. Kolom CASH in dan CASH out perlu dicek apakah seharusnya ada atau tidak, karena secara kode ada tetapi tidak muncul di lingkungan development. Target penyelesaian adalah sebelum fitur naik ke staging.",Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),0.0455,0.0,0.039,No Retrieval
