No,Pertanyaan,Retrieval Relevance,Answer Faithfulness,Answer Completeness,ROUGE-L,BLEU-1,Precision@K,MRR,Context Coverage,Overall,Avg Chunk Score,Chunks,Time (s),Source Type,Ground Truth,Answer,Konfigurasi
1,"Berdasarkan diskusi tim dan FR, apa bug yang ditemukan pada submit quotation BS-SB dan bagaimana solusinya?",0.564,0.138,0.6,0.069,0.0,1.0,1.0,0.375,0.274,0.461,8,31.55,Hybrid (Folder + PostgreSQL),,"Berdasarkan konteks yang diberikan, tidak ada bug spesifik yang ditemukan pada proses submit quotation BS-SB yang dijelaskan.

Konteks menyatakan bahwa:
*   ""Proses Submit kuotasi pada Debtswitch Staple Bonds mengikuti proses pada existing Debt switch. Tidak dapat perubahan pada alur proses Submit Kuotasi oleh Dealer Utama (seperti : quotation confirmation page, maker checker dan lainnya)."" (Sumber 2)

Ini menunjukkan bahwa tidak ada perubahan yang diperlukan pada alur proses submit kuotasi, yang secara implisit berarti tidak ada bug pada alur proses yang memerlukan solusi. Informasi mengenai bug spesifik dan solusinya tidak ditemukan dalam sumber data yang tersedia.",Ablasi-2: FR+DB (L1+L2)
2,Apa keputusan teknis terkait offering digit dan validasi hardcode yang didiskusikan tim?,0.578,0.02,0.0,0.005,0.0,1.0,1.0,0.25,0.121,0.462,8,11.04,Hybrid (Folder + PostgreSQL),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Ablasi-2: FR+DB (L1+L2)
3,"Berdasarkan log diskusi tim, apa yang terjadi pada insiden ETL MOFIDS Februari 2023, apa penyebabnya, dan bagaimana tim merespons insiden tersebut?",0.455,0.013,0.0,0.005,0.0,1.0,1.0,0.375,0.094,0.428,8,16.31,Hybrid (Folder + PostgreSQL),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Ablasi-2: FR+DB (L1+L2)
4,"Berdasarkan FR, data sistem, dan diskusi tim — bagaimana alur upload allocation, dan apa perbedaan antara spesifikasi FR dengan kondisi aktual yang ditemukan tim?",0.574,0.427,0.812,0.164,0.011,1.0,1.0,0.125,0.398,0.47,8,21.32,Hybrid (Folder + PostgreSQL),,"Berdasarkan konteks yang diberikan:

**Alur Upload Allocation:**
Proses alokasi (yang mencakup pengiriman/upload data) mengikuti alur sebagai berikut:
1.  **Input Target:** GOV\_DEPT1 harus menginput minimal satu target untuk menyaring data entri lelang.
2.  **Penyaringan Data:** Jika target yang dipilih lebih dari 1, relasi antar target menggunakan ""AND"". Contoh: jika GOV\_DEPT1 memilih target price 102.5 dan target volume 1000 mio, sistem akan merekomendasikan data kuotasi dengan price <= 102.5 dan akumulasi volume <= 1000 mio.
3.  **Mekanisme Maker-Checker:** Proses alokasi menggunakan mekanisme Maker-Checker.
4.  **Persetujuan Checker:** Persetujuan oleh Checker dilakukan dengan memasukkan username dan password di confirmation window.
5.  **Waktu Pelaksanaan:** Proses alokasi hanya dapat dilakukan sesudah waktu sesi lelang dan sebelum waktu End of Allocation Time yang sudah dibuat pada proses “Entri Persiapan Lelang”.
6.  **Penyimpanan Data:** Data pemenang lelang berhasil disimpan di sistem BOND\_SYS dan EXT\_SYS\_1.
7.  **Pengiriman Data ke EXT\_SYS\_1:**
    *   Data volume yang dikirim ke EXT\_SYS\_1 harus dalam satuan bio.
    *   Proses pengiriman data trade dari BOND\_SYS ke EXT\_SYS\_1 akan dilakukan secara otomatis.
    *   Jika proses pengiriman secara otomatis gagal, user dapat melakukan pengiriman kembali untuk data trade yang gagal saja secara manual menggunakan aplikasi BOND\_SYS.
8.  **Notifikasi:** Setelah proses alokasi selesai dilakukan, sistem secara otomatis akan mengirim pesan di Broadcast Box untuk memberi tahu bahwa proses alokasi sudah dilakukan.
9.  **Update Sub Registry:** DU dapat meng-update data Sub Registry.

**Perbedaan antara Spesifikasi FR dengan Kondisi Aktual yang Ditemukan Tim:**
Informasi mengenai perbedaan antara spesifikasi Functional Requirements (FR) dengan kondisi aktual yang ditemukan tim tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan hanya menjelaskan fungsionalitas dan spesifikasi yang diharapkan.",Ablasi-2: FR+DB (L1+L2)
5,"Berdasarkan seluruh sumber, apa status implementasi fitur amend pada modul trade custody?",0.644,0.042,0.727,0.01,0.0,1.0,1.0,0.25,0.285,0.478,8,9.67,Hybrid (Folder + PostgreSQL),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan tidak membahas status implementasi fitur 'amend' pada modul 'trade custody'.,Ablasi-2: FR+DB (L1+L2)
1,"Berdasarkan diskusi tim dan FR, apa bug yang ditemukan pada submit quotation BS-SB dan bagaimana solusinya?",0.594,0.062,0.7,0.263,0.175,1.0,1.0,0.375,0.359,0.475,8,32.2,Hybrid (Folder + PostgreSQL),"Bug yang ditemukan pada proses submit quotation adalah perbedaan hasil perhitungan di tiga halaman kuotasi, khususnya pada kolom vol kali AI atau AI per volume. Dev_A mengakui kemungkinan rumus salah dan akan diperbaiki serta dites ulang. Selain itu, setelah submit, halaman tidak otomatis refresh sehingga status di halaman admin masih terlihat merah — user harus refresh manual agar perubahan berlaku.","Berdasarkan diskusi tim dan Functional Requirements (FR), bug yang ditemukan pada proses submit quotation adalah:

1.  **Perbedaan hasil perhitungan pada proses kuotasi**: PO_2 melaporkan bahwa ""3 halaman, di proses kuotasi, 33 nya beda hasil"" dan ""ga akur itungannya"" pada tanggal 28/09/2022.",Ablasi-Full: FR+DB+Chat (L1+L2+L3)
2,Apa keputusan teknis terkait offering digit dan validasi hardcode yang didiskusikan tim?,0.588,0.112,0.9,0.182,0.359,1.0,1.0,0.375,0.428,0.465,8,10.27,Hybrid (Folder + PostgreSQL),"Keputusan teknis terkait offering digit adalah bahwa last price dan offering price dapat memiliki nilai desimal hingga 5 angka di belakang koma. Offering parameter tidak mempengaruhi input grid — grid tetap menggunakan 2 desimal. Validasi jumlah digit dikontrol di sisi backend, bukan hardcode di form frontend.","Konteks menunjukkan bahwa ada percakapan personal antara Dev_B (developer) dan PO_1 (product owner) mengenai validasi desimal *offering price* dan *offering digit* di BOND_SYS.

Namun, keputusan teknis spesifik terkait *offering digit* dan validasi *hardcode* yang didiskusikan oleh tim tidak dijelaskan dalam sumber data yang tersedia. Hanya topik diskusinya yang disebutkan.",Ablasi-Full: FR+DB+Chat (L1+L2+L3)
3,"Berdasarkan log diskusi tim, apa yang terjadi pada insiden ETL MOFIDS Februari 2023, apa penyebabnya, dan bagaimana tim merespons insiden tersebut?",0.491,0.047,0.667,0.167,0.168,1.0,1.0,0.5,0.308,0.442,8,11.67,Hybrid (Folder + PostgreSQL),"Insiden ETL MOFIDS pada Februari 2023 terjadi karena proses ETL yang dijalankan oleh tim infrastruktur melakukan truncate pada data di lingkungan produksi. Pemicunya adalah pertanyaan Dev_A mengenai perbedaan quote_id di tabel quotation, yang kemudian ditindaklanjuti perbaikan oleh Astrid tanpa koordinasi dengan tim BOND_SYS. Dampaknya: seluruh quote_id yang sudah dibuat hilang, billing tidak menerima data MOFIDS, dan laporan tidak dapat di-generate. Tim merespons dengan berencana melaporkan insiden kepada stakeholder dan mendiskusikan cara memulihkan data MOFIDS di Data Center.","Informasi tidak ditemukan dalam sumber data yang tersedia. Tidak ada log diskusi tim yang menyebutkan insiden ETL MOFIDS pada Februari 2023, penyebabnya, atau respons tim terhadap insiden tersebut. Diskusi tim MOFIDS yang tersedia berasal dari tahun 2022 dan Januari 2023, serta Februari 2025.",Ablasi-Full: FR+DB+Chat (L1+L2+L3)
4,"Berdasarkan FR, data sistem, dan diskusi tim — bagaimana alur upload allocation, dan apa perbedaan antara spesifikasi FR dengan kondisi aktual yang ditemukan tim?",0.587,0.309,0.812,0.088,0.147,1.0,1.0,0.5,0.389,0.477,8,21.6,Hybrid (Folder + PostgreSQL),"Berdasarkan FR, proses upload alokasi hanya dapat dilakukan setelah sesi lelang berakhir dan sebelum End of Allocation Time yang dibuat pada tahap Entri Persiapan Lelang. Proses menggunakan mekanisme maker-checker — checker memasukkan username dan password di confirmation window. Data pemenang dikirim otomatis ke EXT_SYS_1 dalam satuan bio; jika pengiriman otomatis gagal, user dapat kirim ulang manual untuk data yang gagal saja. Setelah alokasi selesai, sistem otomatis mengirim broadcast ke Dealer Utama. Perbedaan dengan kondisi aktual: tim menemukan format file upload yang digunakan di produksi berbeda dengan spesifikasi FR, dan terdapat isu validasi desimal pada offering digit yang belum konsisten antara FR dan implementasi.","Berdasarkan konteks yang diberikan:

**Alur Upload Allocation:**
Fungsi ""Upload Alokasi"" disebutkan sebagai bagian dari proses lelang, yaitu:
*   BOND_MOD-BCDS06 untuk AUCTION_RPT – Buyback Cash
*   BOND_MOD-SA05 untuk AUCTION_RPT – Simple Auction

Namun, alur atau langkah-langkah detail mengenai bagaimana proses upload alokasi ini dilakukan tidak dijelaskan dalam sumber data yang tersedia.

**Perbedaan antara Spesifikasi FR dengan Kondisi Aktual yang Ditemukan Tim:**
Terdapat perbedaan dalam spesifikasi Functional Requirements (FR) mengenai jumlah sesi lelang:
*   **FR (Sumber 3) untuk Simple Auction:** Menyatakan bahwa proses lelang untuk Simple Auction **hanya terdiri dari 1 sesi, yaitu sesi General**. Pada sesi ini, Dealer Utama (DU) dapat melakukan kuotasi baru dan revisi harga (price)/imbal hasil (yield) atau revisi kuantitas (volume). Revisi harga dan kuantitas hanya dapat dilakukan dengan menurunkan penawaran, sedangkan revisi imbal hasil dengan menaikkan penawaran.
*   **FR (Sumber 7) secara umum untuk lelang:** Menyatakan bahwa proses lelang **dibedakan menjadi 2 sesi, yaitu Sesi General dan Sesi Restricted**.
    *   Pada Sesi General, DU dapat melakukan kuotasi baru dan revisi harga (price)/imbal hasil (yield) atau revisi kuantitas (volume).
    *   Pada Sesi Restricted, DU dapat melakukan kuotasi baru dan revisi harga (price)/imbal hasil (yield) **tetapi tidak dapat melakukan revisi kuantitas (volume)**.
    *   Revisi harga hanya dapat dilakukan dengan menurunkan harga, revisi imbal hasil dengan menaikkan imbal hasil, dan revisi kuantitas dengan menurunkan kuantitas dari pen",Ablasi-Full: FR+DB+Chat (L1+L2+L3)
5,"Berdasarkan seluruh sumber, apa status implementasi fitur amend pada modul trade custody?",0.649,0.103,0.818,0.206,0.129,1.0,1.0,0.375,0.381,0.48,8,10.49,Hybrid (Folder + PostgreSQL),"Fitur amend pada modul trade custody masih IN PROGRESS per Februari 2025. Bug confirm amend belum diperbaiki — logika membuat row baru versus update row lama belum konsisten: confirm pertama membuat row baru dan mengubah yang lama menjadi non-aktif di trade custody, tetapi confirm kedua tidak membuat row baru atau mengupdate yang lama menjadi non-aktif. Kolom CASH in dan CASH out perlu dicek apakah seharusnya ada atau tidak, karena secara kode ada tetapi tidak muncul di lingkungan development. Target penyelesaian adalah sebelum fitur naik ke staging.","Berdasarkan konteks yang tersedia, pengembangan fitur amend dan isu trade custody merupakan topik diskusi tim pengembang aplikasi BOND_SYS pada Februari 2025 (Sumber 5).

Namun, status implementasi spesifik dari fitur amend pada modul trade custody tidak dijelaskan secara rinci dalam sumber data yang diberikan.",Ablasi-Full: FR+DB+Chat (L1+L2+L3)
