No,Pertanyaan,Retrieval Relevance,Answer Faithfulness,Answer Completeness,ROUGE-L,BLEU-1,Precision@K,MRR,Context Coverage,Overall,Avg Chunk Score,Chunks,Time (s),Source Type,Ground Truth,Answer,Sumber,Dimensi TK,KTE,MSRS,AQI
11,Berapa nilai default max_price_percentage dan min_price_percentage pada lelang MOFIDS?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
12,Apa saja kombinasi fraction_type dan fraction_digit yang tersedia untuk tipe Price?,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0,0.0,Baseline: Zero-shot (No RAG),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks secara eksplisit menyatakan bahwa tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini, sehingga kombinasi spesifik `fraction_type` dan `fraction_digit` yang ""tersedia"" untuk tipe `Price` tidak dapat ditentukan.",Baseline: Zero-shot (No RAG),No Retrieval,0.375,0.0,0.25
13,Apa perbedaan auction_unit antara board BS-SB dibanding board BS dan BC?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
14,Firma mana saja yang memiliki is_active = Y di firm_default_params dan apa kode custody-nya?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
15,"Dari semua quotation pada RFQ 20140327-01, berapa yang status is_allocated = Y?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
16,Apakah jam sesi pada data RFQ aktual sudah sesuai spesifikasi FR untuk jam operasional?,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.05,0.0,0.03333333333333333
17,"Board type apa saja yang didefinisikan dalam FR, dan berapa yang sudah ada di database?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan ""Tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.""",Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
18,Apakah konfigurasi offering_parameter pada semua RFQ konsisten dengan ketentuan FR?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
19,"Berdasarkan FR dan data aktual, bagaimana settlement_date dihitung untuk board BS?",0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan bahwa tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),No Retrieval,0.0715,0.0,0.04766666666666666
20,"Berdasarkan FR dan data aktual, apakah offering_digit pada RFQ konsisten dengan fraction_masters?",0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0,0.0,Baseline: Zero-shot (No RAG),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan secara eksplisit menyatakan ""Tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.""",Baseline: Zero-shot (No RAG),No Retrieval,0.0625,0.0,0.041666666666666664
21,"Berdasarkan diskusi tim dan FR, apa bug yang ditemukan pada submit quotation BS-SB dan bagaimana solusinya?",0.0,0.0,0.1,0.037,0.0,0.0,0.0,0.0,0.027,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Bug yang ditemukan pada proses submit quotation adalah perbedaan hasil perhitungan di tiga halaman kuotasi, khususnya pada kolom vol kali AI atau AI per volume. Dev_A mengakui kemungkinan rumus salah dan akan diperbaiki serta dites ulang. Selain itu, setelah submit, halaman tidak otomatis refresh sehingga status di halaman admin masih terlihat merah — user harus refresh manual agar perubahan berlaku.",Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.05,0.0,0.04566666666666667
22,Apa keputusan teknis terkait offering digit dan validasi hardcode yang didiskusikan tim?,0.0,0.0,0.0,0.074,0.032,0.0,0.0,0.0,0.021,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Keputusan teknis terkait offering digit adalah bahwa last price dan offering price dapat memiliki nilai desimal hingga 5 angka di belakang koma. Offering parameter tidak mempengaruhi input grid — grid tetap menggunakan 2 desimal. Validasi jumlah digit dikontrol di sisi backend, bukan hardcode di form frontend.",Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan bahwa tidak ada dokumen atau data referensi yang tersedia untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.024666666666666667
23,"Berdasarkan log diskusi tim, apa yang terjadi pada insiden ETL MOFIDS Februari 2023, apa penyebabnya, dan bagaimana tim merespons insiden tersebut?",0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.012,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Insiden ETL MOFIDS pada Februari 2023 terjadi karena proses ETL yang dijalankan oleh tim infrastruktur melakukan truncate pada data di lingkungan produksi. Pemicunya adalah pertanyaan Dev_A mengenai perbedaan quote_id di tabel quotation, yang kemudian ditindaklanjuti perbaikan oleh Astrid tanpa koordinasi dengan tim BOND_SYS. Dampaknya: seluruh quote_id yang sudah dibuat hilang, billing tidak menerima data MOFIDS, dan laporan tidak dapat di-generate. Tim merespons dengan berencana melaporkan insiden kepada stakeholder dan mendiskusikan cara memulihkan data MOFIDS di Data Center.",Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.019666666666666666
24,"Berdasarkan FR, data sistem, dan diskusi tim — bagaimana alur upload allocation, dan apa perbedaan antara spesifikasi FR dengan kondisi aktual yang ditemukan tim?",0.0,0.0,0.125,0.023,0.0,0.0,0.0,0.0,0.03,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Berdasarkan FR, proses upload alokasi hanya dapat dilakukan setelah sesi lelang berakhir dan sebelum End of Allocation Time yang dibuat pada tahap Entri Persiapan Lelang. Proses menggunakan mekanisme maker-checker — checker memasukkan username dan password di confirmation window. Data pemenang dikirim otomatis ke EXT_SYS_1 dalam satuan bio; jika pengiriman otomatis gagal, user dapat kirim ulang manual untuk data yang gagal saja. Setelah alokasi selesai, sistem otomatis mengirim broadcast ke Dealer Utama. Perbedaan dengan kondisi aktual: tim menemukan format file upload yang digunakan di produksi berbeda dengan spesifikasi FR, dan terdapat isu validasi desimal pada offering digit yang belum konsisten antara FR dan implementasi.",Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0625,0.0,0.04933333333333333
25,"Berdasarkan seluruh sumber, apa status implementasi fitur amend pada modul trade custody?",0.0,0.0,0.091,0.046,0.003,0.0,0.0,0.0,0.028,0.0,0,0.0,Baseline: Zero-shot (No RAG),"Fitur amend pada modul trade custody masih IN PROGRESS per Februari 2025. Bug confirm amend belum diperbaiki — logika membuat row baru versus update row lama belum konsisten: confirm pertama membuat row baru dan mengubah yang lama menjadi non-aktif di trade custody, tetapi confirm kedua tidak membuat row baru atau mengupdate yang lama menjadi non-aktif. Kolom CASH in dan CASH out perlu dicek apakah seharusnya ada atau tidak, karena secara kode ada tetapi tidak muncul di lingkungan development. Target penyelesaian adalah sebelum fitur naik ke staging.",Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks menyatakan bahwa tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),No Retrieval,0.0455,0.0,0.04566666666666667
