No,Pertanyaan,Retrieval Relevance,Answer Faithfulness,Answer Completeness,ROUGE-L,BLEU-1,Precision@K,MRR,Context Coverage,Overall,Avg Chunk Score,Chunks,Time (s),Source Type,Ground Truth,Answer,Sumber,Dimensi TK,KTE,MSRS,AQI
11,Berapa nilai default max_price_percentage dan min_price_percentage pada lelang MOFIDS?,0.507,0.033,0.429,0.01,0.0,1.0,1.0,0.875,0.196,0.461,8,8.31,PostgreSQL Database,,"Berdasarkan konteks yang diberikan dari tabel `request_for_quotations` (Sumber 2 dan Sumber 3), nilai `max_price_percentage` adalah 150.0 dan `min_price_percentage` adalah 30.0.",PostgreSQL (L2),Explicit → Structured,0.23099999999999998,0.9375,0.15733333333333333
12,Apa saja kombinasi fraction_type dan fraction_digit yang tersedia untuk tipe Price?,0.375,0.039,0.75,0.033,0.0,1.0,1.0,1.0,0.239,0.431,8,3.94,PostgreSQL Database,,"Berdasarkan KONTEKS yang diberikan dari tabel `FRACTION_MASTERS`, kombinasi `fraction_type` dan `fraction_digit` yang tersedia untuk tipe Price adalah sebagai berikut:

*   **Price** dengan `fraction_digit` **2**
*   **Price** dengan `fraction_digit` **3**
*   **Price** dengan `fraction_digit` **5**",PostgreSQL (L2),Explicit → Structured,0.3945,1.0,0.274
13,Apa perbedaan auction_unit antara board BS-SB dibanding board BS dan BC?,0.277,0.05,0.167,0.023,0.0,1.0,1.0,0.375,0.103,0.392,8,4.83,PostgreSQL Database,,"Berdasarkan konteks yang diberikan:

*   Untuk `board_id` **BS-SB**, `auction_unit` adalah **Mio**.
*   Untuk `board_id` **BS**, `auction_unit` adalah **Bio**.
*   Untuk `board_id` **BC**, `auction_unit` adalah **Bio**.

Jadi, perbedaannya adalah `auction_unit` untuk `board_id` BS-SB adalah 'Mio', sedangkan untuk `board_id` BS dan BC adalah 'Bio'.",PostgreSQL (L2),Explicit → Structured,0.10850000000000001,0.6875,0.08
14,Firma mana saja yang memiliki is_active = Y di firm_default_params dan apa kode custody-nya?,0.576,0.068,0.7,0.034,0.0,1.0,1.0,0.5,0.276,0.486,8,6.12,PostgreSQL Database,,"Berdasarkan konteks yang diberikan, berikut adalah firma yang memiliki `is_active = Y` di `firm_default_params` beserta kode custody-nya (`s4_sr_investor_code`):

*   **Firma:** B-BBTN, **Kode Custody:** BTANIDJA
*   **Firma:** B-ANZP, **Kode Custody:** ANZBIDJX
*   **Firma:** B-BCA, **Kode Custody:** CENADEPO",PostgreSQL (L2),Explicit → Structured,0.384,0.75,0.26733333333333337
15,"Dari semua quotation pada RFQ 20140327-01, berapa yang status is_allocated = Y?",0.565,0.03,0.857,0.011,0.0,1.0,1.0,0.5,0.293,0.491,8,3.08,PostgreSQL Database,,"Dari semua quotation pada RFQ 20140327-01, ada 2 quotation yang memiliki status `is_allocated = Y`.",PostgreSQL (L2),Explicit → Structured,0.4435,0.75,0.29933333333333334
16,Apakah jam sesi pada data RFQ aktual sudah sesuai spesifikasi FR untuk jam operasional?,0.534,0.121,0.2,0.037,0.0,1.0,1.0,0.25,0.178,0.455,8,31.45,Hybrid (Folder + PostgreSQL),,"Berdasarkan konteks yang diberikan:

Menurut spesifikasi fungsional ([Sumber 8]), sesi lelang akan dibuat parameterized dengan nilai default adalah **10:00 – 13:00**, dan sesi ini akan dianggap sebagai sesi general. Pada lelang Simple Auction, tidak ada sesi restricted. Namun, untuk proses lelang Buyback Debt Switch dan Buyback Cash, proses",FR + DB (L1+L2),Explicit → Cross-referenced,0.1605,0.625,0.11933333333333333
17,"Board type apa saja yang didefinisikan dalam FR, dan berapa yang sudah ada di database?",0.533,0.062,0.5,0.021,0.0,1.0,1.0,0.875,0.223,0.476,8,13.45,Hybrid (Folder + PostgreSQL),,"Informasi mengenai ""board type"" tidak didefinisikan dalam Functional Requirements (FR) yang tersedia.

Namun, terdapat kolom `board_id` dalam tabel `trades` (Sumber 4) dan `quotations` (Sumber 6). Konteks tidak menyediakan detail mengenai jenis-jenis `board_id` yang ada atau jumlahnya di dalam database.",FR + DB (L1+L2),Explicit → Cross-referenced,0.281,0.9375,0.19433333333333336
18,Apakah konfigurasi offering_parameter pada semua RFQ konsisten dengan ketentuan FR?,0.551,0.13,1.0,0.052,0.0,1.0,1.0,0.625,0.347,0.464,8,14.7,Hybrid (Folder + PostgreSQL),,"Konteks yang diberikan menyatakan bahwa `offering_parameter` adalah salah satu kolom dalam tabel `REQUEST_FOR_QUOTATIONS` (Sumber 3).

Sumber 5 menyebutkan bahwa ""Metode kuotasi pada tiap lelang, ditentukan oleh Admin pada saat persiapan lelang."" Ini menunjukkan bahwa ada konfigurasi terkait metode kuotasi yang dilakukan oleh Admin saat persiapan lelang, yang kemungkinan direpresentasikan oleh `offering_parameter`.

Namun, konteks tidak menyediakan informasi mengenai ketentuan fungsional (FR) spesifik yang mengatur nilai atau konsistensi `offering_parameter` pada semua RFQ. Oleh karena itu, tidak dapat dipastikan apakah konfigurasi `offering_parameter` pada semua RFQ konsisten dengan ketentuan FR, karena ketentuan FR yang relevan untuk perbandingan tersebut tidak dijelaskan dalam sumber data yang tersedia.",FR + DB (L1+L2),Explicit → Cross-referenced,0.565,0.8125,0.39399999999999996
19,"Berdasarkan FR dan data aktual, bagaimana settlement_date dihitung untuk board BS?",0.676,0.185,0.857,0.075,0.0,1.0,1.0,0.375,0.359,0.49,8,12.74,Hybrid (Folder + PostgreSQL),,"Berdasarkan konteks yang diberikan:

`settlement_date` ditetapkan pada proses ""Entri Persiapan Lelang"" sesuai dengan parameter yang sudah ditetapkan (Sumber 1).

*   Pada proses ""Entri Persiapan Lelang"", BOND_SYS Admin dapat melakukan entri data persiapan lelang ke dalam sistem. Data persiapan lelang tersimpan di dalam sistem sesuai dengan entrian BOND_SYS Admin (Sumber 4).
*   Proses persiapan lelang Buyback Cash dan Buyback Debt Switch melibatkan GOV_DEPT1 yang menyampaikan pengumuman rencana lelang, dan BOND_SYS Admin akan menginput data lelang sesuai dengan pengumuman tersebut (Sumber 8).

Dengan demikian, `settlement_date` untuk board BS (maupun lelang lainnya) tidak dihitung secara otomatis oleh sistem, melainkan diinput secara manual oleh BOND_SYS Admin sebagai bagian dari data persiapan lelang.

Contoh data aktual dari tabel `request_for_quotations` (Sumber 6) untuk `board_id` 'BS' menunjukkan:
*   Untuk `rfq_code` '20140327-01' dengan `board_id` 'BS', `settlement_date` adalah '2014-04-02'.",FR + DB (L1+L2),Explicit → Cross-referenced,0.521,0.6875,0.37233333333333335
20,"Berdasarkan FR dan data aktual, apakah offering_digit pada RFQ konsisten dengan fraction_masters?",0.585,0.086,0.75,0.018,0.0,1.0,1.0,0.5,0.288,0.456,8,8.95,Hybrid (Folder + PostgreSQL),,"Berdasarkan data yang tersedia:

Dari tabel `request_for_quotations` (Sumber 3):
*   `offering_parameter` yang tercatat adalah ""Price"" dengan `offering_digit` sebesar 2 untuk semua entri.

Dari tabel `fraction_masters` (Sumber 1):
*   Untuk `fraction_type` ""Price"", terdapat `fraction_digit` sebagai berikut: 2, 3, 5.

Karena `offering_digit` sebesar 2 yang tercatat di `request_for_quotations` untuk ""Price"" ada di antara nilai `fraction_digit` yang tersedia untuk ""Price"" di `fraction_masters`, maka `offering_digit` pada RFQ konsisten dengan `fraction_masters`.",FR + DB (L1+L2),Explicit → Cross-referenced,0.418,0.75,0.2846666666666667
21,"Berdasarkan diskusi tim dan FR, apa bug yang ditemukan pada submit quotation BS-SB dan bagaimana solusinya?",0.594,0.062,0.7,0.263,0.175,1.0,1.0,0.375,0.359,0.475,8,32.2,Hybrid (Folder + PostgreSQL),"Bug yang ditemukan pada proses submit quotation adalah perbedaan hasil perhitungan di tiga halaman kuotasi, khususnya pada kolom vol kali AI atau AI per volume. Dev_A mengakui kemungkinan rumus salah dan akan diperbaiki serta dites ulang. Selain itu, setelah submit, halaman tidak otomatis refresh sehingga status di halaman admin masih terlihat merah — user harus refresh manual agar perubahan berlaku.","Berdasarkan diskusi tim dan Functional Requirements (FR), bug yang ditemukan pada proses submit quotation adalah:

1.  **Perbedaan hasil perhitungan pada proses kuotasi**: PO_2 melaporkan bahwa ""3 halaman, di proses kuotasi, 33 nya beda hasil"" dan ""ga akur itungannya"" pada tanggal 28/09/2022.",Hybrid All (L1+L2+L3),Cross-Paradigm,0.381,0.6875,0.3416666666666666
22,Apa keputusan teknis terkait offering digit dan validasi hardcode yang didiskusikan tim?,0.588,0.112,0.9,0.182,0.359,1.0,1.0,0.375,0.428,0.465,8,10.27,Hybrid (Folder + PostgreSQL),"Keputusan teknis terkait offering digit adalah bahwa last price dan offering price dapat memiliki nilai desimal hingga 5 angka di belakang koma. Offering parameter tidak mempengaruhi input grid — grid tetap menggunakan 2 desimal. Validasi jumlah digit dikontrol di sisi backend, bukan hardcode di form frontend.","Konteks menunjukkan bahwa ada percakapan personal antara Dev_B (developer) dan PO_1 (product owner) mengenai validasi desimal *offering price* dan *offering digit* di BOND_SYS.

Namun, keputusan teknis spesifik terkait *offering digit* dan validasi *hardcode* yang didiskusikan oleh tim tidak dijelaskan dalam sumber data yang tersedia. Hanya topik diskusinya yang disebutkan.",Hybrid All (L1+L2+L3),Cross-Paradigm,0.506,0.6875,0.39799999999999996
23,"Berdasarkan log diskusi tim, apa yang terjadi pada insiden ETL MOFIDS Februari 2023, apa penyebabnya, dan bagaimana tim merespons insiden tersebut?",0.491,0.047,0.667,0.167,0.168,1.0,1.0,0.5,0.308,0.442,8,11.67,Hybrid (Folder + PostgreSQL),"Insiden ETL MOFIDS pada Februari 2023 terjadi karena proses ETL yang dijalankan oleh tim infrastruktur melakukan truncate pada data di lingkungan produksi. Pemicunya adalah pertanyaan Dev_A mengenai perbedaan quote_id di tabel quotation, yang kemudian ditindaklanjuti perbaikan oleh Astrid tanpa koordinasi dengan tim BOND_SYS. Dampaknya: seluruh quote_id yang sudah dibuat hilang, billing tidak menerima data MOFIDS, dan laporan tidak dapat di-generate. Tim merespons dengan berencana melaporkan insiden kepada stakeholder dan mendiskusikan cara memulihkan data MOFIDS di Data Center.","Informasi tidak ditemukan dalam sumber data yang tersedia. Tidak ada log diskusi tim yang menyebutkan insiden ETL MOFIDS pada Februari 2023, penyebabnya, atau respons tim terhadap insiden tersebut. Diskusi tim MOFIDS yang tersedia berasal dari tahun 2022 dan Januari 2023, serta Februari 2025.",Hybrid All (L1+L2+L3),Cross-Paradigm,0.35700000000000004,0.75,0.2936666666666667
24,"Berdasarkan FR, data sistem, dan diskusi tim — bagaimana alur upload allocation, dan apa perbedaan antara spesifikasi FR dengan kondisi aktual yang ditemukan tim?",0.587,0.309,0.812,0.088,0.147,1.0,1.0,0.5,0.389,0.477,8,21.6,Hybrid (Folder + PostgreSQL),"Berdasarkan FR, proses upload alokasi hanya dapat dilakukan setelah sesi lelang berakhir dan sebelum End of Allocation Time yang dibuat pada tahap Entri Persiapan Lelang. Proses menggunakan mekanisme maker-checker — checker memasukkan username dan password di confirmation window. Data pemenang dikirim otomatis ke EXT_SYS_1 dalam satuan bio; jika pengiriman otomatis gagal, user dapat kirim ulang manual untuk data yang gagal saja. Setelah alokasi selesai, sistem otomatis mengirim broadcast ke Dealer Utama. Perbedaan dengan kondisi aktual: tim menemukan format file upload yang digunakan di produksi berbeda dengan spesifikasi FR, dan terdapat isu validasi desimal pada offering digit yang belum konsisten antara FR dan implementasi.","Berdasarkan konteks yang diberikan:

**Alur Upload Allocation:**
Fungsi ""Upload Alokasi"" disebutkan sebagai bagian dari proses lelang, yaitu:
*   BOND_MOD-BCDS06 untuk AUCTION_RPT – Buyback Cash
*   BOND_MOD-SA05 untuk AUCTION_RPT – Simple Auction

Namun, alur atau langkah-langkah detail mengenai bagaimana proses upload alokasi ini dilakukan tidak dijelaskan dalam sumber data yang tersedia.

**Perbedaan antara Spesifikasi FR dengan Kondisi Aktual yang Ditemukan Tim:**
Terdapat perbedaan dalam spesifikasi Functional Requirements (FR) mengenai jumlah sesi lelang:
*   **FR (Sumber 3) untuk Simple Auction:** Menyatakan bahwa proses lelang untuk Simple Auction **hanya terdiri dari 1 sesi, yaitu sesi General**. Pada sesi ini, Dealer Utama (DU) dapat melakukan kuotasi baru dan revisi harga (price)/imbal hasil (yield) atau revisi kuantitas (volume). Revisi harga dan kuantitas hanya dapat dilakukan dengan menurunkan penawaran, sedangkan revisi imbal hasil dengan menaikkan penawaran.
*   **FR (Sumber 7) secara umum untuk lelang:** Menyatakan bahwa proses lelang **dibedakan menjadi 2 sesi, yaitu Sesi General dan Sesi Restricted**.
    *   Pada Sesi General, DU dapat melakukan kuotasi baru dan revisi harga (price)/imbal hasil (yield) atau revisi kuantitas (volume).
    *   Pada Sesi Restricted, DU dapat melakukan kuotasi baru dan revisi harga (price)/imbal hasil (yield) **tetapi tidak dapat melakukan revisi kuantitas (volume)**.
    *   Revisi harga hanya dapat dilakukan dengan menurunkan harga, revisi imbal hasil dengan menaikkan imbal hasil, dan revisi kuantitas dengan menurunkan kuantitas dari pen",Hybrid All (L1+L2+L3),Cross-Paradigm,0.5605,0.75,0.403
25,"Berdasarkan seluruh sumber, apa status implementasi fitur amend pada modul trade custody?",0.649,0.103,0.818,0.206,0.129,1.0,1.0,0.375,0.381,0.48,8,10.49,Hybrid (Folder + PostgreSQL),"Fitur amend pada modul trade custody masih IN PROGRESS per Februari 2025. Bug confirm amend belum diperbaiki — logika membuat row baru versus update row lama belum konsisten: confirm pertama membuat row baru dan mengubah yang lama menjadi non-aktif di trade custody, tetapi confirm kedua tidak membuat row baru atau mengupdate yang lama menjadi non-aktif. Kolom CASH in dan CASH out perlu dicek apakah seharusnya ada atau tidak, karena secara kode ada tetapi tidak muncul di lingkungan development. Target penyelesaian adalah sebelum fitur naik ke staging.","Berdasarkan konteks yang tersedia, pengembangan fitur amend dan isu trade custody merupakan topik diskusi tim pengembang aplikasi BOND_SYS pada Februari 2025 (Sumber 5).

Namun, status implementasi spesifik dari fitur amend pada modul trade custody tidak dijelaskan secara rinci dalam sumber data yang diberikan.",Hybrid All (L1+L2+L3),Cross-Paradigm,0.46049999999999996,0.6875,0.37566666666666665
